q_bits,n,m,rho,mode,N,Q_bits,rate,entropy_target,delta_entropy,volume_grid_t,delta_volume_grid
128,16777216,2,0.125,folded,8388608,256,0.125,0.875,0.8728532780936253,7322024,0.8728532791137695
128,16777216,2,0.125,interleaved,16777216,256,0.125,0.875,0.8728532780936253,14644048,0.8728532791137695
128,16777216,2,0.0625,folded,8388608,256,0.0625,0.9375,0.9361621285399337,7853097,0.9361621141433716
128,16777216,2,0.0625,interleaved,16777216,256,0.0625,0.9375,0.9361621285399337,15706194,0.9361621141433716
128,16777216,4,0.5,folded,4194304,512,0.5,0.5,0.4980468964974128,2088960,0.498046875
128,16777216,4,0.5,interleaved,16777216,512,0.5,0.5,0.4980468964974128,8355840,0.498046875
128,16777216,4,0.25,folded,4194304,512,0.25,0.75,0.7484105710853916,3139061,0.7484104633331299
128,16777216,4,0.25,interleaved,16777216,512,0.25,0.75,0.7484105710853916,12556245,0.7484105229377747
128,16777216,4,0.125,folded,4194304,512,0.125,0.875,0.8739325121811805,3665538,0.8739323616027832
128,16777216,4,0.125,interleaved,16777216,512,0.125,0.875,0.8739325121811805,14662154,0.8739324808120728
128,16777216,4,0.0625,folded,4194304,512,0.0625,0.9375,0.936836175489877,3929375,0.9368360042572021
128,16777216,4,0.0625,interleaved,16777216,512,0.0625,0.9375,0.936836175489877,15717502,0.9368361234664917
128,16777216,8,0.5,folded,2097152,1024,0.5,0.5,0.4990234401872159,1046528,0.4990234375
128,16777216,8,0.5,interleaved,16777216,1024,0.5,0.5,0.4990234401872159,8372224,0.4990234375
128,16777216,8,0.25,folded,2097152,1024,0.25,0.75,0.7492065103953666,1571199,0.7492060661315918
128,16777216,8,0.25,interleaved,16777216,1024,0.25,0.75,0.7492065103953666,12569599,0.7492064833641052
128,16777216,8,0.125,folded,2097152,1024,0.125,0.875,0.874467717888966,1833891,0.8744673728942871
128,16777216,8,0.125,interleaved,16777216,1024,0.125,0.875,0.874467717888966,14671133,0.874467670917511
128,16777216,8,0.0625,folded,2097152,1024,0.0625,0.9375,0.9371693549639705,1965386,0.937169075012207
