q_bits,n,k,rho,mode,m,ell,s,coset_count,cosets_chosen,radius,log2_list_lower_bound,log2_budget,log2_margin,beats_budget,delta_entropy,delta_volume_grid,capacity_gap,below_capacity
192.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.9357121912851286,0.935699462890625,0.060712191285128614,True
192.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,64.0,-61.0,False,0.9357073249949318,0.9357070922851562,0.06070732499493181,True
256.0,1024,64,0.0625,folded,1,128,128,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9366579247292806,0.9365234375,0.061657924729280555,True
256.0,4096,256,0.0625,folded,1,512,512,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9362860753740551,0.936279296875,0.06128607537405506,True
256.0,65536,4096,0.0625,folded,1,8192,8192,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.9361698751739443,0.9361572265625,0.061169875173944344,True
256.0,1048576,65536,0.0625,folded,1,131072,131072,8,1,0.875,3.0000000000000004,128.0,-125.0,False,0.936162612704391,0.936161994934082,0.06116261270439105,True
192.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9360392129149483,0.935546875,0.1860392129149483,True
192.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8724575012944624,0.8720703125,0.12245750129446242,True
192.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.935790052338976,0.935791015625,0.18579005233897605,True
192.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8722097835977269,0.8720703125,0.12220978359772694,True
192.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9357121912851286,0.935699462890625,0.1857121912851286,True
192.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8721323726786177,0.87213134765625,0.12213237267861765,True
192.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.9357073249949318,0.9357070922851562,0.1857073249949318,True
192.0,1048576,131072,0.125,folded,1,262144,262144,4,1,0.75,1.9999999999999984,64.0,-62.0,False,0.8721275345097782,0.8721275329589844,0.1221275345097782,True
256.0,1024,64,0.0625,folded,1,256,256,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9366579247292806,0.9365234375,0.18665792472928056,True
256.0,1024,128,0.125,folded,1,256,256,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8733469247760021,0.873046875,0.12334692477600206,True
256.0,4096,256,0.0625,folded,1,1024,1024,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9362860753740551,0.936279296875,0.18628607537405506,True
256.0,4096,512,0.125,folded,1,1024,1024,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.8729766885897646,0.872802734375,0.12297668858976463,True
256.0,65536,4096,0.0625,folded,1,16384,16384,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.9361698751739443,0.9361572265625,0.18616987517394434,True
256.0,65536,8192,0.125,folded,1,16384,16384,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.872860991226721,0.8728485107421875,0.122860991226721,True
256.0,1048576,65536,0.0625,folded,1,262144,262144,4,1,0.75,1.9999999999999984,128.0,-126.0,False,0.936162612704391,0.936161994934082,0.18616261270439105,True
