p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
13,4,1,0.25,2,folded,2,13,169,13,1,2,156,0.5,1.0,0.9940828402366864,"((0, 0), (1, 1))",ok
13,4,1,0.25,2,folded,2,13,169,13,2,13,169,0.5,1.0,0.9940828402366864,"((0, 0), (0, 0))",ok
13,4,1,0.25,2,interleaved,4,169,169,169,,,,0.5,0.75,0.7710051006068432,,"refused: received-word space has 815730721 words, exceeding max_words=2000000"
13,4,2,0.5,1,scalar,4,13,13,169,0,1,169,0.2928932188134524,0.5,0.4952340031689936,"(0, 0, 0, 0)",ok
13,4,2,0.5,1,scalar,4,13,13,169,1,1,8281,0.2928932188134524,0.5,0.4952340031689936,"(0, 0, 0, 0)",ok
13,4,2,0.5,1,scalar,4,13,13,169,2,6,20280,0.2928932188134524,0.5,0.4952340031689936,"(0, 0, 1, 1)",ok
13,4,2,0.5,1,scalar,4,13,13,169,3,49,169,0.2928932188134524,0.5,0.4952340031689936,"(0, 0, 0, 0)",ok
13,4,2,0.5,1,scalar,4,13,13,169,4,169,28561,0.2928932188134524,0.5,0.4952340031689936,"(0, 0, 0, 0)",ok
13,4,2,0.5,2,folded,2,169,169,169,0,1,169,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 0))",ok
13,4,2,0.5,2,folded,2,169,169,169,1,2,28392,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 1))",ok
13,4,2,0.5,2,folded,2,169,169,169,2,169,28561,0.2928932188134524,0.5,0.6214039369285269,"((0, 0), (0, 0))",ok
13,4,2,0.5,2,interleaved,4,169,169,28561,,,,0.2928932188134524,0.5,0.4904836682005797,,"refused: received-word space has 815730721 words, exceeding max_words=2000000"
13,4,3,0.75,1,scalar,4,13,13,2197,,,,0.1339745962155614,0.25,0.2781791786256005,,"refused: search would require 62748517 center/codeword distance checks, exceeding max_operations=5000000"
13,4,3,0.75,2,folded,2,169,169,2197,,,,0.1339745962155614,0.0,0.37179164805127773,,"refused: search would require 62748517 center/codeword distance checks, exceeding max_operations=5000000"
13,4,3,0.75,2,interleaved,4,,169,,,,,0.1339745962155614,,,,"refused: interleaved code has 4826809 codewords, exceeding max_codewords=200000"
13,6,1,0.16666666666666666,1,scalar,6,13,13,13,,,,0.591751709536137,1.0,0.9230769230769231,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,1,0.16666666666666666,2,folded,3,13,169,13,0,1,13,0.591751709536137,1.0,0.9940828402366864,"((0, 0), (0, 0), (0, 0))",ok
13,6,1,0.16666666666666666,2,folded,3,13,169,13,1,1,481,0.591751709536137,1.0,0.9940828402366864,"((0, 0), (0, 0), (0, 0))",ok
13,6,1,0.16666666666666666,2,folded,3,13,169,13,2,3,1716,0.591751709536137,1.0,0.9940828402366864,"((0, 0), (1, 1), (10, 10))",ok
13,6,1,0.16666666666666666,2,folded,3,13,169,13,3,13,2197,0.591751709536137,1.0,0.9940828402366864,"((0, 0), (0, 0), (0, 0))",ok
13,6,1,0.16666666666666666,2,interleaved,6,169,169,169,,,,0.591751709536137,0.8333333333333334,0.8282031806772125,,"refused: received-word space has 23298085122481 words, exceeding max_words=2000000"
13,6,2,0.3333333333333333,1,scalar,6,13,13,169,,,,0.42264973081037427,0.6666666666666666,0.5874153584781066,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,2,0.3333333333333333,2,folded,3,169,169,169,,,,0.42264973081037427,0.6666666666666666,0.7182571459145732,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,2,0.3333333333333333,2,interleaved,6,169,169,28561,,,,0.42264973081037427,0.5,0.621403936928527,,"refused: received-word space has 23298085122481 words, exceeding max_words=2000000"
